country_code	country	age	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
270	Gambia	10	3.665	3.785	3.921	4.083	4.267	4.444	4.594	4.674	4.606	4.227	4.025	4.321	4.499	4.678	4.854	5.035	5.224	5.419	5.619	5.825	6.038	6.256	6.479	6.701	6.924	7.16	7.393	7.624	7.896	8.18	8.499	8.822	9.251	9.656	10.078	10.47	10.922	11.404	11.925	12.48	13.088	13.769	14.448	15.163	15.862	16.607	17.245	17.95	18.609	19.323	20.11	20.939	21.654	22.324	22.963	23.733	24.183	24.512	24.858	25.346	25.758	26.187	26.716	27.263	27.955	28.87	29.816	30.975	31.742	32.494	33.402	34.466	35.57	36.762	37.274
270	Gambia	11	3.526	3.645	3.764	3.9	4.061	4.243	4.42	4.569	4.648	4.581	4.205	4.004	4.299	4.477	4.655	4.83	5.011	5.199	5.393	5.593	5.799	6.01	6.228	6.45	6.672	6.911	7.149	7.386	7.621	7.896	8.184	8.505	8.829	9.26	9.672	10.08	10.476	10.931	11.414	11.939	12.496	13.105	13.786	14.45	15.116	15.806	16.547	17.184	17.886	18.544	19.258	20.043	20.87	21.584	22.255	22.895	23.666	24.117	24.448	24.795	25.283	25.695	26.125	26.654	27.201	27.891	28.804	29.75	30.907	31.673	32.425	33.338	34.401	35.503	36.695
270	Gambia	12	3.425	3.509	3.627	3.746	3.881	4.041	4.223	4.398	4.546	4.626	4.559	4.186	3.986	4.279	4.457	4.634	4.809	4.989	5.176	5.37	5.57	5.775	5.986	6.203	6.424	6.661	6.902	7.144	7.384	7.623	7.901	8.191	8.513	8.84	9.278	9.676	10.088	10.486	10.943	11.43	11.957	12.515	13.124	13.791	14.41	15.066	15.75	16.49	17.125	17.826	18.484	19.196	19.979	20.805	21.519	22.192	22.832	23.604	24.055	24.388	24.734	25.223	25.636	26.066	26.595	27.141	27.83	28.742	29.687	30.842	31.608	32.365	33.277	34.339	35.44
270	Gambia	13	3.347	3.41	3.493	3.611	3.729	3.864	4.023	4.203	4.378	4.525	4.605	4.539	4.168	3.97	4.262	4.438	4.615	4.79	4.97	5.157	5.351	5.551	5.755	5.965	6.181	6.415	6.654	6.898	7.144	7.387	7.629	7.909	8.2	8.525	8.858	9.282	9.684	10.098	10.498	10.958	11.447	11.976	12.534	13.13	13.756	14.361	15.011	15.695	16.431	17.066	17.765	18.422	19.132	19.915	20.741	21.455	22.128	22.771	23.544	23.996	24.329	24.675	25.163	25.578	26.006	26.535	27.08	27.767	28.679	29.621	30.775	31.549	32.305	33.214	34.276
270	Gambia	14	3.271	3.335	3.398	3.481	3.598	3.716	3.849	4.008	4.187	4.361	4.508	4.587	4.522	4.154	3.957	4.248	4.424	4.6	4.776	4.955	5.142	5.335	5.534	5.739	5.948	6.172	6.408	6.651	6.898	7.147	7.393	7.638	7.917	8.212	8.543	8.862	9.289	9.693	10.109	10.512	10.974	11.464	11.994	12.538	13.1	13.707	14.305	14.953	15.633	16.369	17.002	17.699	18.354	19.063	19.846	20.673	21.388	22.063	22.708	23.48	23.932	24.265	24.611	25.101	25.514	25.942	26.469	27.012	27.698	28.608	29.549	30.712	31.485	32.237	33.146
270	Gambia	15	3.202	3.263	3.328	3.39	3.473	3.589	3.706	3.839	3.997	4.175	4.349	4.495	4.574	4.51	4.143	3.948	4.238	4.413	4.591	4.767	4.945	5.131	5.324	5.523	5.727	5.94	6.165	6.404	6.65	6.899	7.152	7.4	7.643	7.927	8.229	8.545	8.867	9.296	9.702	10.121	10.527	10.989	11.479	11.996	12.513	13.048	13.645	14.241	14.886	15.565	16.298	16.929	17.623	18.276	18.987	19.771	20.598	21.316	21.993	22.639	23.41	23.861	24.194	24.541	25.03	25.442	25.867	26.392	26.933	27.617	28.526	29.48	30.641	31.408	32.161
270	Gambia	16	3.165	3.199	3.261	3.324	3.386	3.469	3.585	3.701	3.833	3.99	4.168	4.34	4.486	4.565	4.502	4.138	3.944	4.232	4.409	4.587	4.763	4.941	5.127	5.319	5.518	5.733	5.95	6.182	6.427	6.678	6.934	7.19	7.435	7.687	7.984	8.338	8.666	8.997	9.437	9.854	10.282	10.695	11.163	11.607	11.977	12.456	12.979	13.573	14.166	14.809	15.485	16.215	16.843	17.534	18.189	18.901	19.686	20.518	21.237	21.915	22.56	23.328	23.78	24.114	24.459	24.946	25.354	25.777	26.299	26.839	27.521	28.446	29.399	30.551	31.318
270	Gambia	17	3.098	3.168	3.202	3.263	3.326	3.388	3.47	3.585	3.701	3.832	3.989	4.165	4.337	4.482	4.561	4.498	4.137	3.945	4.234	4.412	4.59	4.765	4.942	5.129	5.32	5.527	5.748	5.97	6.209	6.46	6.717	6.978	7.229	7.486	7.751	8.119	8.486	8.826	9.17	9.622	10.052	10.489	10.908	11.322	11.593	11.914	12.378	12.898	13.489	14.079	14.719	15.39	16.117	16.742	17.435	18.091	18.806	19.595	20.429	21.15	21.824	22.467	23.236	23.688	24.019	24.362	24.845	25.249	25.67	26.189	26.727	27.432	28.355	29.296	30.447
270	Gambia	18	3.009	3.105	3.174	3.208	3.268	3.331	3.393	3.474	3.589	3.704	3.835	3.99	4.166	4.337	4.482	4.56	4.498	4.139	3.953	4.242	4.419	4.597	4.772	4.949	5.135	5.33	5.542	5.769	5.998	6.245	6.502	6.764	7.018	7.281	7.554	7.905	8.288	8.668	9.023	9.382	9.847	10.287	10.73	11.088	11.312	11.523	11.827	12.287	12.804	13.391	13.978	14.612	15.28	16.002	16.631	17.324	17.983	18.705	19.496	20.331	21.049	21.721	22.363	23.131	23.58	23.908	24.245	24.725	25.125	25.543	26.059	26.625	27.329	28.238	29.178
270	Gambia	19	2.921	3.019	3.114	3.183	3.217	3.277	3.34	3.401	3.482	3.596	3.71	3.84	3.995	4.17	4.34	4.484	4.562	4.501	4.15	3.966	4.254	4.431	4.609	4.784	4.96	5.146	5.345	5.565	5.799	6.035	6.288	6.55	6.802	7.073	7.352	7.721	8.088	8.485	8.881	9.252	9.625	10.101	10.547	10.926	11.082	11.234	11.427	11.728	12.184	12.697	13.279	13.86	14.49	15.154	15.88	16.509	17.206	17.872	18.597	19.39	20.221	20.934	21.607	22.248	23.012	23.456	23.777	24.11	24.586	24.983	25.397	25.946	26.511	27.198	28.106
